# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
482	-	CAR	-	A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine.	Noun	23.14
7171	890454	CARCASS	-	The body of a dead animal, on which other animals have begun to feed.	Noun	4.771
6378	-	CARD	-	A flat, normally rectangular piece of stiff paper, plastic etc.	Noun	11.99902
447386	-	CARPENTER	-	Artisan who works with wood.	Noun	9.43
424192	-	CARROT	-	A yellow-orange, longish-rounded root vegetable, which is eaten raw or boiled.	Noun	8.9991
335263	-	CARRY	-	To lift and bring to somewhere else; to transport by lifting.	Verb	10.61
1527192	-	CARRY IN HAND	-	To hold or to take something from one place to another by hands.	Verb	10.612
1527200	-	CARRY ON HEAD	-	To hold or to take something from one place to another on top of the head.	Verb	10.614
1527196	-	CARRY ON SHOULDER	-	To hold or to take something from one place to another on one shoulder.	Verb	10.613
1527204	-	CARRY UNDER THE ARM	-	To hold or to take something from one place to another under the arm.	Verb	10.615
1240424	-	CART	-	Voiture l\xc3\xa9g\xc3\xa8re \xc3\xa0 deux roues.	Noun	10.75
1462598	-	CARVE	-	To cut or to chip in order to form something.	Verb	9.81
1318006	-	CASHEW	-	The edible seed of the cashew tree.	Noun	8.99911
395385	-	CASSAVA	-	A starchy pulp made with the roots of the cassava plant.	Noun	8.92
1510514	-	CASSAVA FLOUR	-	Flour made of the cassava plant or root.	Noun	5.99909
1421991	-	CAST	-	To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.	Verb	9.63
5446	-	CAT	-	A common four-legged animal (Felis silvestris) that is often kept as a household pet.	Noun	3.62
335306	1506955	CATCH	-	To take hold of, especially in the hands, so as to seize or restrain or stop the motion of.	Verb	10.252
914040	-	CATERPILLAR	-	The wormlike larva of a butterfly or moth.	Noun	3.99911
